"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Dog API Tests","0","Breed Images","1","0","Buscar imagens por raça","0"
"0","Dog API Tests","0","Random Image","1","0","Validar headers","0"
"0","Dog API Tests","0","Random Image","1","0","Validar estrutura da resposta","0"
"0","Dog API Tests","0","Random Image","1","0","Validar aleatoriedade","0"
"0","Dog API Tests","0","Breed Images","1","0","Validar case sensitivity","0"
"0","Dog API Tests","0","Random Image","1","0","Validar URL da imagem","0"
"0","Dog API Tests","0","Breeds List","1","0","Validar estrutura da resposta","0"
"0","Dog API Tests","0","Breeds List","1","0","Buscar todas as raças","0"
"0","Dog API Tests","0","Random Image","1","0","Buscar imagem aleatória","0"
"0","Dog API Tests","0","Breed Images","1","0","Testar múltiplas raças","0"
"0","Dog API Tests","0","Breed Images","1","0","Validar URLs das imagens","0"
"0","Dog API Tests","0","Random Image","1","0","Teste de carga leve","0"
"0","Dog API Tests","0","Breeds List","1","0","Performance","0"
"0","Dog API Tests","0","Integration Tests","1","0","Consistência de dados","0"
"0","Dog API Tests","0","Integration Tests","1","0","Fluxo completo da API","0"
"0","Dog API Tests","0","Breeds List","1","0","Validar sub-raças","0"
"0","Dog API Tests","0","Breed Images","1","0","Performance","0"
"0","Dog API Tests","0","Breeds List","1","0","Validar headers","0"
"0","Dog API Tests","0","Breed Images","1","0","Validar erro para raça inválida","0"
"0","Dog API Tests","0","Random Image","1","0","Performance","0"
